0.5 | 0.1 | SVM Poly | K = 1 | C = 0.01 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.13 | MinDCF = 1.0
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.408 | MinDCF = 0.549
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 9.017 | MinDCF = 0.572
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.03 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.077 | MinDCF = 0.724
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.743
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 7.737 | MinDCF = 0.928
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.1 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.95
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.015 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.648 | MinDCF = 0.579
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.692
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.468 | MinDCF = 0.718
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.799
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.589 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.005 | MinDCF = 0.687
0.5 | 0.5 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.699
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 7.465 | MinDCF = 0.939
0.5 | 0.9 | SVM Poly | K = 1 | C = 0.31622776601683794 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.965
0.5 | 0.1 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.93 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.069 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.603 | MinDCF = 0.435
0.5 | 0.5 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.008 | MinDCF = 0.46
0.5 | 0.9 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.103 | MinDCF = 0.566
0.5 | 0.9 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 9.008 | MinDCF = 0.566
0.5 | 0.1 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.05 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.05 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.917 | MinDCF = 0.639
0.5 | 0.5 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.006 | MinDCF = 0.645
0.5 | 0.9 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 7.117 | MinDCF = 0.902
0.5 | 0.9 | SVM Poly | K = 1 | C = 1.0 | d = 3 | c = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.006 | MinDCF = 0.909
